constituency,gaeilge,Count Number,Date Of Election,Number Of Candidates,Number of Seats,Quota,Required Save Deposit,Seats Filled,seats,Spoiled,electorate,poll,Valid Poll,Constituency Number,abbr,party,sf,ff,fg,con_abbr,partycol,x,y
Carlow Kilkenny,Ceatharlach-Cill Chainnigh,10,08/02/2020,14,5,12274,3069,5,5,546,114343,74189,73643,1,CK,FF,23.75,37.29,21.73,CK,FF,230,300
Cavan Monaghan,An Cabhan-Muineachan,11,08/02/2020,13,5,12031,3008,5,5,695,110190,72878,72183,2,CM,SF,36.68,25.16,26.64,CK,FF,250,300
Clare,An Clar,10,08/02/2020,15,4,11900,2976,4,4,519,91120,60014,59495,3,CL,FF,15.11,34.04,22.48,CK,FF,230,320
Cork East,Corcaigh Thoir,8,08/02/2020,13,4,10909,2728,4,4,401,89998,54945,54544,4,CE,FF,23.08,26.47,19.61,CK,FF,250,320
Cork North Central,Corcaigh Thuaidh-Lar,14,08/02/2020,18,4,10356,2590,4,4,440,87473,52218,51778,5,CNC,SF,26.67,24.55,15.07,CK,FF,250,340
Cork North West,Corcaigh Thiar Thuaidh,5,08/02/2020,9,3,11593,2899,3,3,486,71685,46856,46370,6,CNW,FF,0,39.42,33.22,WX,FF,280,300
Cork South Central,Corcaigh Theas-Lar,8,08/02/2020,14,4,11429,2858,4,4,317,90916,57457,57140,7,CSC,FF,24.6,35.46,21.27,WX,FF,300,300
Cork South West,Corcaigh Thiar Theas,8,08/02/2020,12,3,11085,2772,3,3,288,69127,44626,44338,8,CSW,FF,10.77,23.32,18.93,WX,FF,280,320
Donegal,Dun na nGall,9,08/02/2020,13,5,12909,3228,5,5,647,125911,78099,77452,9,DG,SF,45.11,20.42,13.79,WX,FF,300,320
Dublin Central,Baile Atha Cliath Lair,9,08/02/2020,16,4,6288,1573,4,4,297,61998,31732,31435,11,DC,SF,35.7,10.27,15.11,WX,FF,280,340
Dublin Bay North,Cuan Bhaile Atha Cliath Thuaidh,14,08/02/2020,18,5,11935,2984,5,5,645,112047,72251,71606,13,DBN,SF,29.81,14.38,18.76,WD,SF,200,330
Dublin Fingal,Baile Atha Cliath - Fine Gall,12,08/02/2020,16,5,10574,2644,5,5,451,101045,63891,63440,14,DF,SF,24.89,21.49,14.96,WD,SF,180,350
Dublin North West,Baile Atha Cliath Thiar Thuaidh,6,08/02/2020,10,3,8097,2025,3,3,343,54885,32729,32386,15,DNW,SF,44.39,12.05,11.05,WD,SF,200,350
Dublin South Central,Baile Atha Cliath Theas-Lar,6,08/02/2020,13,4,8659,2165,4,4,515,79460,43806,43291,16,DSC,SF,39.3,11.05,11.73,WD,SF,220,350
Dublin Bay South,Cuan Bhaile Atha Cliath Theas,8,08/02/2020,15,4,7919,1980,4,4,268,80764,39859,39591,17,DBS,FG,16.07,13.83,27.72,TP,FF,150,260
Dublin Rathdown,Baile Atha Cliath-Rath an Duin,8,08/02/2020,11,3,10601,2651,3,3,251,67012,42654,42403,18,DR,FG,11.62,12.82,31.19,TP,FF,150,280
Dublin South West,Baile Atha Cliath Thiar Theas,11,08/02/2020,16,5,11261,2816,5,5,629,109517,68194,67565,19,DSW,SF,29.72,18.05,16.84,TP,FF,170,280
Dublin West,Baile Atha Thiar,6,08/02/2020,12,4,8726,2182,4,4,270,70337,43898,43628,20,DW,SF,28.55,15.8,23.72,TP,FF,170,300
Dun Laoghaire,Dun Laoghaire,8,08/02/2020,13,4,12459,3115,4,4,357,99811,62650,62293,21,DL,FG,9.64,15.9,33.4,TP,FF,170,320
Galway East,Gaillimh Thoir,8,08/02/2020,12,3,10631,2658,3,3,338,69233,42858,42520,22,GE,FG,16.72,25.15,29,CE,FF,120,310
Galway West,Gaillimh Thiar,13,08/02/2020,15,5,10057,2515,5,5,423,104825,60764,60341,23,GW,FF,14.03,22.7,18.05,CE,FF,140,310
Kerry,Ciarrai,8,08/02/2020,13,5,12945,3237,5,5,543,116885,78209,77666,24,KR,FF,20.26,20.67,18.37,CE,FF,140,330
Kildare North,Cill Dara Thuaidh,6,08/02/2020,12,4,10190,2548,4,4,382,81884,51327,50945,26,KN,FF,17.09,26.23,17.8,CE,FF,140,350
